English,Polish,Dutch,Romanian,Czech,Danish,German,Russian,Japanese,,,,,
NO SIGNAL,BRAK SYGNA?U,GEEN SIGNAAL,F?R? SEMNAL,BEZ SIGNÁLU,INTET SIGNAL,KEIN SIGNAL,??? ???????,????,,,,,
KEYSTONE,KOREKCJA TRAPEZOWA (KEYSTONE),TRAPEZIUMEFFECT,TRAPEZULUI,LICHOB?ŽNÍK,SLUTSTEN,KEYSTONE,????,??????,,,,,
FLIP,ODWRÓCENIE,OMDRAAIEN,R?STURNARE,P?EPNOUT,VEND,UMDREHEN,??????,??,,,,,
BRIGHTNESS,JASNO??,HELDERHEID,LUMINOZITATE,JAS ,LYSSTYRKE,HELLIGKEIT,???????,???,,,,,
SHARPNESS,OSTRO??,SCHERPTE,CLARITATE,OSTROST,SKARPHED,SCHÄRFE,????????,??????,,,,,
GREEN ALIGNMENT,DOPASOWANIE ZIELENI,GROENE UITLIJNING,ALINIERE VERDE,ZELENÉ ZAROVNÁNÍ,GRØN JUSTERING,GRÜNE AUSRICHTUNG,??????????? ????????,??????????,,,,,
BLUE ALIGNMENT,DOPASOWANIE B??KITU,BLAUWE UITLIJNING,ALINIERE ALBASTRU,MODRÉ ZAROVNÁNÍ ,BLÅ JUSTERING,BLAUE AUSRICHTUNG,??????????? ??????,??????????,,,,,
LANGUAGE,J?ZYK,TAAL,LIMB?,JAZYK,SPROG,SPRACHE,????,??,,,,,
FACTORY RESET,PRZYWRÓCENIE USTAWIE? FABRYCZNYCH,FABRIEKSRESET,REVENIRE LA SET?RILE DIN FABRIC?,RESET DO TOVÁRNÍHO NASTAVENÍ,FABRIKSNULSTILLING,AUF WERKSEINSTELLUNGEN ZURÜCKSETZEN,????? ? ????????? ??????????,??????????,,,,,
CHINESE SIMPLIFIED,CHI?SKI UPROSZCZONY,VEREENVOUDIGD CHINEES,CHINEZ? SIMPLIFICAT?,ZJEDNODUŠENÁ ?ÍNŠTINA,KINESISK SIMPLIFICERET,CHINESISCH (VEREINFACHT),????????? ??????????,????????,,,,,
ANYBEAM,ANYBEAM,ANYBEAM,ANYBEAM,ANYBEAM,ANYBEAM,ANYBEAM,????? ???,ANYBEAM,,,,,
CHINESE TRADITIONAL,CHI?SKI TRADYCYJNY,TRADITIONEEL CHINEES,CHINEZ? TRADI?IONAL?,TRADI?NÍ ?ÍNŠTINA,KINESISK TRADITIONELT ,CHINESISCH (TRADITIONELL),????????? ????????????,????????,,,,,
CHINESE SIMPLIFIED,CHI?SKI UPROSZCZONY,VEREENVOUDIGD CHINEES,CHINEZ? SIMPLIFICAT?,ZJEDNODUŠENÁ ?ÍNŠTINA,KINESISK SIMPLIFICERET ,CHINESISCH (VEREINFACHT),????????? ??????????,????????,,,,,
JAPANESE,JAPO?SKI,JAPANS,JAPONEZ?,JAPONŠTINA,JAPANSK,JAPANISCH,????????,???,,,,,
